EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
750000.100,750000.100,750000.100,629659.500,558201.700,315528.400,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,654828.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
706321.600,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
586693.400,693508.800,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
495314.100,584389.600,750000.100,649550.100,750000.100,672420.400,650219.700,700222.200,0.000
421652.400,497343.000,750000.100,551348.300,653695.500,572453.300,553087.500,595506.000,0.000
360449.700,425404.100,750000.100,470251.800,558893.500,489276.800,473008.200,509200.100,0.000
313296.900,369965.900,750000.100,407883.900,485887.500,424961.900,411396.800,442701.100,0.000
291810.300,344660.100,750000.100,378968.400,452533.800,395682.800,383172.600,412298.300,0.000
282491.500,333042.600,750000.100,366059.400,436619.000,382901.100,370373.700,398533.700,0.000
274246.100,323259.500,750000.100,354806.300,423156.600,371796.300,359330.000,386613.500,0.000
266463.000,314222.700,750000.100,344316.700,411299.900,361251.100,349269.200,375753.300,0.000
259245.600,305892.200,742158.500,334627.100,400489.300,351321.300,340065.100,365833.300,0.000
252733.100,298267.600,721951.400,325758.600,390568.200,342404.300,331596.500,356705.200,0.000
247045.700,290991.700,703782.100,317931.100,380564.800,334545.100,323642.000,348146.100,0.000
241714.700,284644.000,687255.600,310715.000,371776.800,327397.600,316405.800,340376.400,0.000
236561.000,278717.400,671643.300,303852.200,364039.400,320399.200,309769.800,333237.100,0.000
231707.900,273162.300,656996.800,297407.800,356910.000,313680.500,303635.500,326628.800,0.000
227252.700,267983.900,643347.800,291399.200,350255.000,307587.800,297880.500,320436.000,0.000
223399.500,262950.500,631034.100,286126.600,343290.400,302242.000,292399.500,314546.300,0.000
219740.500,258600.800,619780.300,281214.600,337206.800,297367.000,287403.700,309180.800,0.000
216118.400,254486.600,608960.900,276450.800,331884.100,292482.500,282789.700,304213.000,0.000
212664.300,250577.500,598675.700,271918.900,326948.300,287698.200,278491.700,299574.500,0.000
209484.000,246915.200,589005.000,267652.700,322301.100,283354.300,274422.500,295187.800,0.000
206770.500,243283.500,580283.800,263949.200,317224.700,279592.300,270496.600,290962.600,0.000
204150.300,240181.800,572286.300,260466.000,312831.500,276160.800,266909.000,287107.500,0.000
201520.900,237247.800,564508.800,257050.700,309072.200,272646.500,263609.900,283554.300,0.000
198978.500,234421.000,557020.200,253746.000,305558.300,269125.000,260512.700,280205.400,0.000
196620.600,231734.800,549903.800,250594.000,302205.500,265909.000,257532.700,276995.300,0.000
194691.200,229046.900,543563.900,247940.300,298401.800,263196.400,254649.500,273896.800,0.000
192805.100,226795.200,537752.500,245422.100,295146.800,260727.200,252008.700,271062.200,0.000
190833.600,224621.500,531980.400,242869.100,292392.400,258097.500,249552.000,268419.800,0.000
188910.600,222508.300,526367.400,240381.200,289814.900,255410.400,247246.300,265928.100,0.000
187137.600,220506.600,521010.200,238007.900,287360.900,252985.700,245027.300,263540.300,0.000
185722.400,218447.300,516275.100,236047.700,284410.800,250984.400,242841.400,261192.000,0.000
184326.800,216773.900,511964.700,234187.600,281946.600,249186.800,240858.000,259063.300,0.000
182832.500,215154.300,507617.400,232271.500,279924.100,247204.100,239023.800,257089.900,0.000
181367.300,213571.000,503351.300,230385.300,278036.200,245136.500,237304.400,255230.500,0.000
179998.100,212046.300,499228.900,228548.600,276210.000,243264.900,235613.200,253412.100,0.000
178964.700,210452.000,495645.100,227091.900,273880.800,241779.400,233940.800,251617.300,0.000
177924.300,209200.300,492408.600,225698.600,271976.700,240461.700,232429.900,249999.600,0.000
176774.600,207989.900,489085.600,224229.800,270483.000,238954.300,231047.000,248508.200,0.000
175616.700,206774.900,485772.600,222758.500,269074.400,237324.700,229739.300,247089.300,0.000
174547.500,205615.700,482563.700,221323.200,267720.900,235874.200,228450.600,245697.900,0.000
173782.400,204354.700,479820.600,220226.600,265853.400,234763.800,227147.600,244295.600,0.000
173000.800,203412.700,477369.300,219178.200,264361.600,233799.500,225982.900,243048.500,0.000
172101.500,202496.200,474793.700,218037.300,263250.900,232634.200,224926.000,241908.400,0.000
171171.200,201548.200,472176.000,216868.200,262195.700,231318.600,223914.500,240811.100,0.000
170332.900,200656.700,469644.900,215747.000,261201.200,230178.100,222926.700,239748.300,0.000
169778.600,199651.000,467528.300,214937.400,259674.300,229355.800,221906.700,238656.600,0.000
169202.500,198943.900,465672.500,214162.000,258494.300,228658.200,221007.500,237696.700,0.000
168484.200,198237.400,463648.000,213263.000,257655.600,227734.900,220180.300,236807.600,0.000
167747.300,197511.400,461576.800,212342.000,256883.200,226677.500,219411.300,235970.800,0.000
167096.600,196835.600,459565.400,211451.700,256161.500,225779.900,218659.900,235159.500,0.000
166678.500,195996.500,457900.400,210820.100,254870.700,225144.400,217829.900,234271.900,0.000
