EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
23546.3009640544,23546.3009640544,23546.3009640544,19768.200153407997,17524.777965825346,9906.034238004158,23546.3009640544,23546.3009640544,0.0
143256.73102667858,143256.73102667858,143256.73102667858,124048.7002810904,112643.04317607265,70921.08385491099,143256.73102667858,143256.73102667858,0.0
394547.96324167587,394547.96324167587,394547.96324167587,354227.251738448,330284.96344625595,233785.30480274404,394547.96324167587,394547.96324167587,0.0
665989.4854809126,665989.4854809126,665989.4854809126,622435.5770865231,596573.42852432,476856.77900496044,665989.4854809126,665989.4854809126,0.0
798051.6455873671,798051.6455873671,798051.6455873671,776861.7289666806,764279.2354117385,687103.7886981796,798051.6455873671,798051.6455873671,0.0
761102.5083407257,761102.5083407257,761102.5083407257,767031.1493445653,770551.5542878988,765748.8204831237,761102.5083407257,761102.5083407257,0.0
653622.1402064922,653622.1402064922,653622.1402064922,670867.8072263965,681108.2200610852,720573.7333462031,653622.1402064922,653622.1402064922,0.0
577964.7680572824,579336.0573499885,579336.0573499885,591255.5648041862,598333.3239292,636008.4795284306,579336.0573499885,579336.0573499885,0.0
555717.6703455853,566042.8417362107,567816.3897019387,569664.7677442299,570762.3277403552,583916.2871074087,567816.3897019387,567816.3897019387,0.0
533006.5197050347,567486.9685598259,581703.1166558121,576321.3000593428,578151.8477812684,572684.77782811,578570.5046352088,580140.3363111714,0.0
453722.3821861736,521913.6158612886,575207.2256642997,553979.6173609815,573844.9383830571,559251.2059054477,553098.8046933758,562411.6295138658,0.0
325151.05077266006,415466.63088926417,541918.9824091136,473113.6486677894,529060.4683798284,499509.194853345,468360.9037639776,493021.31659099244,0.0
202929.48317495745,289331.6416660247,507612.10551841935,354809.983657576,445323.0130937974,392324.68642110436,350680.62212210515,389749.6838896057,0.0
124442.73332560077,188467.41193997866,488429.5684293959,241937.40199696267,342954.1688165024,275615.7346018638,241223.0889936458,283417.1383448797,0.0
81894.43993955974,123718.49546753896,474551.6471408852,159597.52765567752,246166.79503637308,186238.104782219,160625.12587888323,194751.15327633388,0.0
53935.77601298506,85453.07606634086,454136.71520106366,110510.6041000036,174914.39486823173,134857.74303313682,111049.33578554878,134606.3426527825,0.0
34504.0291562499,66168.33068667134,431815.905817337,88615.49147910115,138772.68096807634,112270.75336753814,89045.87874014294,106906.16395350381,0.0
24267.969082581185,58013.253613300614,414764.59931067296,81376.74697988277,128902.82891349687,103196.55024410953,82708.30039458997,100507.98768876784,0.0
15969.558924709805,47951.46698897419,396877.3337365707,71604.31102434869,121986.33467416234,93358.61677390133,73146.49190125128,92522.9013446017,0.0
2503.520897686909,29912.285849756074,369009.32477662025,51601.70258843341,102220.07250767919,75490.657227562,52503.96205449471,71438.62816340078,0.0
