EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
39996.380,47367.570,115738.300,53939.150,62180.450,54303.960,52599.110,56606.550,0.000
132316.100,156621.700,380749.400,177569.600,205611.100,179544.600,173954.300,187196.300,0.000
197762.900,233861.000,563678.800,263191.900,306896.400,268171.000,259770.100,279522.500,0.000
213262.800,251908.700,600493.300,280779.100,330208.500,289115.000,279711.500,300959.500,0.000
215224.300,254082.400,599775.900,280738.700,332650.000,291800.800,281926.600,303325.600,0.000
206128.700,243228.600,568906.100,266542.900,318244.300,279251.800,269840.100,290285.400,0.000
186841.500,220269.900,510182.600,239312.400,288084.900,252645.300,244485.800,262956.400,0.000
175623.500,206837.000,476202.400,223580.400,270293.100,237112.900,229670.700,246985.000,0.000
183424.100,215962.000,497769.000,233732.400,281917.900,247700.600,239734.600,257813.300,0.000
196344.000,231237.100,533775.500,250627.500,301656.600,265344.700,256552.200,275917.200,0.000
194620.800,229173.400,527077.900,247632.500,298840.000,262927.600,254231.900,273413.100,0.000
179382.000,211075.700,481764.100,226618.500,275073.000,242010.000,234212.700,251851.000,0.000
169611.000,199447.300,453166.000,213359.100,259727.100,228587.000,221354.000,237999.000,0.000
175557.100,206450.300,470349.700,221427.000,268728.200,236673.600,229092.000,246322.700,0.000
186002.800,218825.500,500082.000,235359.500,284802.800,250929.100,242751.500,261020.200,0.000
185068.400,217710.600,496426.100,233752.300,283272.800,249635.400,241495.500,259657.600,0.000
173498.800,203994.000,462286.800,217917.700,265246.200,233832.400,226296.100,243287.000,0.000
165981.100,195087.600,440559.200,207828.000,253511.900,223568.700,216426.200,232659.500,0.000
170447.200,200374.700,453714.300,213990.700,260363.400,229646.400,222280.300,238960.700,0.000
178405.000,209810.400,476555.000,224688.400,272669.000,240486.700,232719.700,250196.200,0.000
177868.200,209163.800,474405.400,223758.800,271775.100,239748.500,231992.800,249411.300,0.000
169367.500,199087.500,449383.700,212153.800,258511.700,228177.900,220806.200,237370.200,0.000
163768.200,192463.200,433262.200,204667.300,249791.000,220557.800,213453.000,229456.600,0.000
166907.000,196180.200,442589.600,209037.800,254646.400,224805.500,217587.300,233905.300,0.000
172645.100,202975.800,459115.200,216777.700,263545.000,232584.600,225131.300,242022.000,0.000
172369.100,202626.300,457898.000,216264.100,263052.800,232202.100,224742.000,241601.300,0.000
166425.600,195578.700,440387.700,208144.900,253750.900,224147.700,216897.600,233159.500,0.000
162422.500,190853.500,428871.900,202795.600,247529.100,218718.900,211638.600,227498.900,0.000
164414.000,193215.800,434858.800,205598.300,250648.300,221389.600,214285.000,230344.100,0.000
168237.300,197740.000,445929.100,210783.000,256606.400,226545.500,219335.400,235777.000,0.000
168121.700,197577.500,445305.700,210540.800,256363.900,226388.800,219158.500,235585.700,0.000
